"cep" "long" "lat"
80060110 -49.26266 -25.43239
80060120 -49.26213 -25.43146
80060130 -49.26101 -25.43169
80060140 -49.26131 -25.42915
80060150 -49.26085 -25.4278
80060160 -49.25734 -25.43238
80060170 -49.25959 -25.42729
80060180 -49.26133 -25.42979
80060195 -49.26133 -25.42979
80060205 -49.2639 -25.42724
80060210 -49.26501 -25.42687
80060230 -49.26291 -25.42604
80060240 -49.26336 -25.42166
80060270 -49.25786 -25.4223
80060272 -49.24971 -25.42272
80060900 -49.26133 -25.42979
80060901 -49.26133 -25.42979
80060902 -49.26133 -25.42979
80060903 -49.26133 -25.42979
80060904 -49.26133 -25.42979
80060907 -49.26133 -25.42979
80063980 -49.31743 -25.42354
80210000 -49.24613 -25.44427
80210030 -49.25269 -25.43845
80210040 -49.249 -25.43784
80210050 -49.2524 -25.4399
80210060 -49.24743 -25.43877
80210070 -49.248 -25.43998
80210080 -49.25009 -25.43827
80210090 -49.24986 -25.44235
80210100 -49.24784 -25.44309
80210110 -49.24555 -25.44387
80210120 -49.24543 -25.44474
80210130 -49.2485 -25.44468
80210131 -49.24114 -25.45044
80210132 -49.24047 -25.45005
80210134 -49.24114 -25.45044
80210136 -49.24179 -25.4508
80210150 -49.24813 -25.44382
80210160 -49.24986 -25.44235
80210170 -49.23737 -25.44412
80210190 -49.24375 -25.44323
80210200 -49.24481 -25.44287
80210210 -49.24634 -25.44154
80210220 -49.24634 -25.44154
80210250 -49.24511 -25.44113
80210260 -49.2468 -25.44056
80210300 -49.24574 -25.44009
80210310 -49.24416 -25.43976
80210330 -49.24416 -25.43976
80210340 -49.24326 -25.43915
80210350 -49.24481 -25.4387
80210360 -49.24202 -25.43849
80210370 -49.23798 -25.43961
80210380 -49.24069 -25.43888
80210390 -49.24037 -25.44106
80210410 -49.25789 -25.43955
80215000 -49.2512 -25.45575
80215010 -49.25909 -25.44333
80215020 -49.25689 -25.44248
80215030 -49.25617 -25.44221
80215040 -49.25439 -25.44304
80215045 -49.2512 -25.45575
80215050 -49.25342 -25.44266
80215070 -49.2512 -25.45575
80215090 -49.2512 -25.45575
80215095 -49.2512 -25.45575
80215100 -49.25653 -25.44076
80215105 -49.25526 -25.44124
80215110 -49.25468 -25.43736
80215120 -49.2512 -25.45575
80215140 -49.25382 -25.44128
80215150 -49.2563 -25.44378
80215160 -49.25577 -25.44497
80215170 -49.2541 -25.44615
80215182 -49.25284 -25.45221
80215184 -49.2512 -25.45575
80215190 -49.25686 -25.44813
80215192 -49.25313 -25.44576
80215196 -49.2512 -25.45575
80215200 -49.2532 -25.44808
80215202 -49.25516 -25.45241
80215210 -49.25724 -25.45048
80215212 -49.25213 -25.44537
80215223 -49.25386 -25.45229
80215230 -49.2577 -25.45262
80215232 -49.25724 -25.45048
80215240 -49.25606 -25.45488
80215242 -49.25648 -25.45041
80215250 -49.25457 -25.45607
80215260 -49.25284 -25.4574
80215270 -49.22325 -25.48888
80215280 -49.2526 -25.45848
80215290 -49.2551 -25.4586
80215300 -49.25514 -25.46069
80215310 -49.2551 -25.4586
80215390 -49.2512 -25.45575
80215420 -49.25383 -25.46364
80215430 -49.24863 -25.44723
80215434 -49.24767 -25.45031
80215435 -49.2512 -25.45575
80215440 -49.25163 -25.4442
80215450 -49.25219 -25.44269
80215460 -49.25101 -25.44356
80215470 -49.25083 -25.44388
80215472 -49.25083 -25.44388
80215480 -49.2506 -25.44428
80215490 -49.25076 -25.4461
80215500 -49.25036 -25.44542
80215510 -49.25013 -25.44631
80215520 -49.24972 -25.4456
80215530 -49.24943 -25.44603
80215540 -49.25023 -25.44594
80215542 -49.25076 -25.4461
80215550 -49.24827 -25.44612
80215560 -49.248 -25.44648
80215570 -49.24827 -25.44775
80215580 -49.24799 -25.44815
80215590 -49.24923 -25.44882
80215600 -49.24773 -25.44855
80215610 -49.24656 -25.44844
80215620 -49.24716 -25.44929
80215630 -49.24692 -25.44963
80215640 -49.24673 -25.44993
80215650 -49.24923 -25.44882
80215660 -49.2512 -25.45575
80215670 -49.2497 -25.44668
80215680 -49.2512 -25.45575
80215900 -49.2512 -25.45575
80220000 -49.2664 -25.46083
80220001 -49.2664 -25.46083
80220010 -49.25941 -25.45883
80220020 -49.26093 -25.45399
80220030 -49.26383 -25.4522
80220031 -49.25948 -25.46121
80220040 -49.26465 -25.45281
80220041 -49.25976 -25.46257
80220050 -49.26543 -25.45351
80220051 -49.26141 -25.46198
80220060 -49.26738 -25.45151
80220061 -49.26211 -25.46226
80220070 -49.2664 -25.46083
80220071 -49.26267 -25.46371
80220080 -49.26794 -25.45576
80220081 -49.26433 -25.46315
80220090 -49.26613 -25.45945
80220100 -49.2664 -25.46083
80220120 -49.26797 -25.45738
80220130 -49.26583 -25.45772
80220140 -49.26798 -25.46114
80220150 -49.26903 -25.46156
80220160 -49.27072 -25.46133
80220170 -49.2694 -25.46079
80220180 -49.26175 -25.44923
80220181 -49.26738 -25.45151
80220190 -49.2612 -25.45039
80220191 -49.26681 -25.45264
80220200 -49.26707 -25.45512
80220201 -49.28057 -25.46729
80220210 -49.2664 -25.46083
80220230 -49.27003 -25.45541
80220240 -49.26742 -25.45687
80220250 -49.26309 -25.45155
80220260 -49.26367 -25.45485
80220262 -49.2664 -25.46083
80220270 -49.26117 -25.45526
80220280 -49.26426 -25.45785
80220290 -49.26185 -25.45867
80220300 -49.25804 -25.45613
80220310 -49.2664 -25.46083
80220320 -49.26434 -25.46082
80220324 -49.2664 -25.46083
80220330 -49.26261 -25.46129
80220333 -49.2664 -25.46083
80220340 -49.26211 -25.46226
80220350 -49.26072 -25.46294
80220360 -49.2664 -25.46083
80220370 -49.25601 -25.46205
80220390 -49.26059 -25.46508
80220400 -49.25939 -25.46569
80220410 -49.25964 -25.46693
80220420 -49.26191 -25.46888
80220430 -49.25987 -25.46909
80220432 -49.2664 -25.46083
80220435 -49.27106 -25.47091
80220440 -49.26191 -25.46888
80220450 -49.26417 -25.46761
80220460 -49.26507 -25.46795
80220980 -49.2664 -25.46083
80230000 -49.2664 -25.44616
80230010 -49.26234 -25.43592
80230020 -49.26681 -25.44128
80230030 -49.2664 -25.44616
80230040 -49.26435 -25.44376
80230050 -49.26248 -25.44461
80230060 -49.26309 -25.44643
80230070 -49.26641 -25.4491
80230080 -49.2664 -25.44616
80230085 -49.2664 -25.44616
80230090 -49.2664 -25.44616
80230100 -49.26852 -25.44202
80230110 -49.2664 -25.44616
80230120 -49.26372 -25.44509
80230130 -49.26309 -25.44328
80230140 -49.26008 -25.44663
80230150 -49.25935 -25.44496
80230160 -49.26086 -25.43819
80230170 -49.2664 -25.44616
80230180 -49.25935 -25.44342
80230901 -49.2664 -25.44616
80230902 -49.2664 -25.44616
80230972 -49.2664 -25.44616
80231970 -49.31743 -25.42354
80237970 -49.31743 -25.42354
80240000 -49.28257 -25.44382
80240001 -49.29351 -25.4479
80240010 -49.283 -25.4425
80240020 -49.28377 -25.44592
80240021 -49.28374 -25.446
80240030 -49.28514 -25.44822
80240031 -49.29708 -25.45261
80240040 -49.28341 -25.44942
80240041 -49.29631 -25.45436
80240050 -49.29175 -25.44973
80240060 -49.28214 -25.45212
80240070 -49.29045 -25.45378
80240090 -49.28067 -25.45
80240110 -49.28374 -25.446
80240120 -49.28478 -25.4464
80240130 -49.28514 -25.44822
80240140 -49.28534 -25.45017
80240160 -49.28714 -25.44412
80240170 -49.28525 -25.44542
80240190 -49.28652 -25.45227
80240200 -49.29175 -25.44973
80240210 -49.2879 -25.44925
80240220 -49.28858 -25.44782
80240230 -49.28967 -25.44816
80240232 -49.29175 -25.44973
80240240 -49.29039 -25.44679
80240250 -49.29175 -25.44973
80240260 -49.29135 -25.44715
80240262 -49.29175 -25.44973
80240270 -49.29147 -25.44884
80240280 -49.29227 -25.44914
80240290 -49.29272 -25.45101
80240310 -49.29557 -25.44725
80240320 -49.29449 -25.45077
80240330 -49.29621 -25.45063
80240340 -49.29458 -25.44679
80240350 -49.29175 -25.44973
80240370 -49.29375 -25.44491
80240380 -49.29449 -25.45077
80240390 -49.29506 -25.4531
80240410 -49.29786 -25.45373
80240430 -49.2987 -25.44898
80240440 -49.29889 -25.45167
80240450 -49.29175 -25.44973
80240460 -49.30094 -25.45081
80240470 -49.29828 -25.45287
80240480 -49.29952 -25.45355
80240490 -49.29993 -25.45458
80240510 -49.30161 -25.4543
80240520 -49.30235 -25.45138
80240530 -49.30266 -25.4527
80240540 -49.30236 -25.45458
80240550 -49.30337 -25.45256
80240560 -49.30178 -25.44946
80240640 -49.3027 -25.4538
80242980 -49.31743 -25.42354
80250000 -49.27781 -25.45119
80250020 -49.27437 -25.44251
80250030 -49.27577 -25.44292
80250040 -49.2743 -25.44914
80250050 -49.27781 -25.45119
80250060 -49.27781 -25.45119
80250070 -49.27787 -25.4437
80250080 -49.27977 -25.44285
80250090 -49.27585 -25.45136
80250100 -49.27888 -25.44769
80250104 -49.27781 -25.45119
80250110 -49.28096 -25.44497
80250120 -49.29002 -25.43184
80250130 -49.27402 -25.45201
80250140 -49.27402 -25.45201
80250150 -49.27365 -25.45051
80250160 -49.27164 -25.44813
80250170 -49.27781 -25.45119
80250180 -49.27555 -25.4464
80250190 -49.27506 -25.44446
80250200 -49.27577 -25.44292
80250205 -49.27781 -25.45119
80250210 -49.2761 -25.44144
80250220 -49.27825 -25.44065
80250230 -49.27781 -25.45119
